qid1	qid2	score	label
1662766	13165680	0.629542732621	0
1662766	11175753	0.604972908742	1
1662766	36245737	0.592637582271	0
1662766	615208	0.442777828828	0
1662766	992414	0.319023576137	0
1662766	2422320	0.318703276649	0
1662766	25506386	0.298627994035	0
1662766	3839584	0.297959171826	0
1662766	2777205	0.295031366176	0
1662766	38285475	0.290554360842	0
1662766	26039056	0.289597909979	0
1662766	37876994	0.283908870375	0
1662766	9723343	0.282333072121	0
1662766	1210539	0.278835455832	0
1662766	23248964	0.271782082539	0
1662766	41482287	0.264234242999	0
1662766	43493566	0.259286884547	0
1662766	26412295	0.259244447371	0
1662766	1600866	0.253883335945	0
1662766	14041467	0.247734055635	0
1662766	5843311	0.247280468905	0
1662766	1775557	0.246271337178	0
1662766	19187619	0.244483816514	0
1662766	982400	0.244464247169	0
1662766	41737597	0.24254601526	0
1662766	47519013	0.240891723504	0
1662766	6650296	0.239479409718	0
1662766	44776526	0.239430895236	0
1662766	7985948	0.237068868544	0
1662766	4990031	0.234653125982	0
35172561	32868789	0.792453603114	0
35172561	31459506	0.783261487931	1
35172561	46754322	0.724327550222	0
35172561	23009030	0.721528338504	0
35172561	17110275	0.682349712599	0
35172561	21624299	0.633354773968	0
35172561	19099289	0.618316042694	0
35172561	47327677	0.616847851801	0
35172561	35976627	0.572240163054	0
35172561	38661155	0.542502510489	0
35172561	556110	0.510029709571	0
35172561	31591928	0.502659459111	0
35172561	9130867	0.497522822911	0
35172561	38934917	0.497337994948	0
35172561	26103018	0.49298022367	0
35172561	38033711	0.492246182417	0
35172561	14984213	0.490412974924	0
35172561	41550884	0.485852697119	0
35172561	36931035	0.483697450734	0
35172561	17720902	0.482030208669	0
35172561	22097365	0.481189323628	0
35172561	36729549	0.480151030674	0
35172561	35293116	0.472544590233	0
35172561	19871437	0.472544590233	0
35172561	43260004	0.459717196482	0
35172561	40942515	0.456855626823	0
35172561	27550929	0.448997326389	0
35172561	29457075	0.447968212978	0
35172561	32583034	0.446507870177	0
35172561	32968914	0.443513341564	0
35130180	260666	0.720980163083	1
35130180	30424513	0.720421205419	0
35130180	28077081	0.719439685705	0
35130180	35348504	0.719439685705	0
35130180	35045374	0.718140108243	0
35130180	5482588	0.709342046378	0
35130180	5546351	0.707861342245	0
35130180	8344178	0.707861342245	0
35130180	4746379	0.707861342245	0
35130180	23008433	0.707861342245	0
35130180	22727212	0.707848666157	0
35130180	17344638	0.707848664341	0
35130180	24194188	0.706292503104	0
35130180	33554916	0.706292503104	0
35130180	5094825	0.706292503104	0
35130180	258285	0.706292503104	0
35130180	29754584	0.706292503104	0
35130180	7202616	0.706279797288	0
35130180	8121682	0.706279797288	0
35130180	11296789	0.704982012412	0
35130180	10122188	0.703419442408	0
35130180	9277684	0.703419442408	0
35130180	24300773	0.701828430305	0
35130180	30008922	0.698164285116	0
35130180	39989560	0.69781403618	0
35130180	44252540	0.696958380885	0
35130180	1221512	0.696018204646	0
35130180	12119295	0.696018204646	0
35130180	27800229	0.692275579951	0
35130180	1492359	0.691793417133	0
3431326	2178285	0.649835392547	1
3431326	9735601	0.529484397872	0
3431326	5554717	0.5259741645	0
3431326	9470613	0.5259741645	0
3431326	6322226	0.521874137943	0
3431326	1163117	0.521414394819	0
3431326	6685608	0.519380811636	0
3431326	44285918	0.517999587042	0
3431326	1464248	0.500306222199	0
3431326	13590132	0.499964106076	0
3431326	6392267	0.498280103058	0
3431326	10582601	0.49347929618	0
3431326	13787973	0.490315910513	0
3431326	10843633	0.49017089583	0
3431326	26644232	0.489118655755	0
3431326	8410993	0.48758397056	0
3431326	13864075	0.487021354072	0
3431326	2654055	0.486162316567	0
3431326	43212756	0.485359018232	0
3431326	11840439	0.484052157564	0
3431326	26259963	0.48356634267	0
3431326	30141639	0.483455000165	0
3431326	40994794	0.482292492029	0
3431326	20327002	0.482059407307	0
3431326	11954498	0.481766603396	0
3431326	2904478	0.481414215807	0
3431326	10594439	0.478265747105	0
3431326	22060858	0.47643334311	0
3431326	22758420	0.474189349403	0
3431326	9375562	0.472347543093	0
12216853	15497405	0.63409246978	1
12216853	3236886	0.502023318887	0
12216853	28573180	0.500254973527	0
12216853	16981796	0.49347377773	0
12216853	23593061	0.492368584437	0
12216853	12038180	0.486472679842	0
12216853	646700	0.485354206358	0
12216853	18561332	0.477082517528	0
12216853	1590976	0.469912172457	0
12216853	39465411	0.468565433144	0
12216853	34629023	0.468207571252	0
12216853	11621615	0.463044164708	0
12216853	9488083	0.456267454585	0
12216853	41118849	0.454904525883	0
12216853	4203021	0.45114661366	0
12216853	12874472	0.447466521243	0
12216853	37008076	0.445235189932	0
12216853	10689388	0.440046116527	0
12216853	8746735	0.437700429567	0
12216853	3759400	0.430980834333	0
12216853	5221132	0.429310150226	0
12216853	12776497	0.422369669531	0
12216853	25504595	0.418879263643	0
12216853	37697251	0.412579473877	0
12216853	24980333	0.389811316205	0
12216853	22981673	0.389589577213	0
12216853	7335750	0.389563220007	0
12216853	30024560	0.384846423704	0
12216853	17507941	0.381371913644	0
12216853	6584744	0.381112146591	0
37055794	30082555	0.907529302522	1
37055794	43767685	0.754503918388	0
37055794	39119436	0.621417159639	0
37055794	46857619	0.589323629499	0
37055794	41593538	0.503022658966	0
37055794	23305001	0.444292477392	0
37055794	40989955	0.441460039693	0
37055794	45639655	0.429223582387	0
37055794	45661170	0.408743455804	0
37055794	44672877	0.393318321477	0
37055794	42982029	0.390651854162	0
37055794	16032328	0.387685042893	0
37055794	17038948	0.383257170002	0
37055794	12705707	0.383249496786	0
37055794	20576839	0.382404104836	0
37055794	41907565	0.380940913171	0
37055794	31471982	0.380216307158	0
37055794	26820899	0.379701252171	0
37055794	44415385	0.374854671904	0
37055794	27238663	0.374852131042	0
37055794	20275789	0.372565277204	0
37055794	34114964	0.372252244414	0
37055794	12059538	0.36979872189	0
37055794	47135542	0.367016923717	0
37055794	20431521	0.364509987232	0
37055794	45126406	0.364505463901	0
37055794	26716740	0.362955867607	0
37055794	35099910	0.362773670874	0
37055794	40400164	0.36172352803	0
37055794	37042202	0.361667192229	0
35997541	36488622	0.628899696656	0
35997541	36377203	0.625952134151	0
35997541	37328431	0.618792220611	0
35997541	27377993	0.602875158639	0
35997541	44736875	0.601195572002	0
35997541	4568594	0.592670425797	0
35997541	9899068	0.589031745784	0
